,A,B,C,D,E,F,G,H,I,J,K
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,Cu,,,,,,10mM EDTA,,,
6,,Cu,,,,,,10mM EDTA,,,
7,,Cu,,,,,,10mM EDTA,,,
8,,,,,,,,,,,
