,A,B,C,D,E,F,G,H,I,J,K
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,Co,Cu,Ca,Ni,Zn,Mn,Mg,10mM EDTA,,,
6,Co,Cu,Ca,Ni,Zn,Mn,Mg,10mM EDTA,,,
7,Co,Cu,Ca,Ni,Zn,Mn,Mg,10mM EDTA,,,
8,,,,,,,,,,,
